RANK_steals_2016,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
176,Aaron Gordon,ORL,41,19.6,23,0.56,1.37,34,0.83,76,0.68,0.30
177,Chris Johnson,UTAH,34,10.9,19,0.56,2.47,19,0.56,41,1.00,0.46
178,Tyson Chandler,PHX,36,23.1,20,0.56,1.16,42,1.17,72,0.48,0.28
179,Gerald Green,MIA,38,26.4,21,0.55,1.01,33,0.87,82,0.64,0.26
180,Kosta Koufos,SAC,42,20.6,23,0.55,1.27,33,0.79,110,0.70,0.21
181,Gary Neal,WSH,33,21.3,18,0.55,1.23,27,0.82,43,0.67,0.42
182,James Johnson,TOR,35,15.3,19,0.54,1.70,32,0.91,43,0.59,0.44
183,Lance Stephenson,LAC,35,15.8,19,0.54,1.65,39,1.11,62,0.49,0.31
184,Jeff Withey,UTAH,35,15.5,19,0.54,1.69,26,0.74,58,0.73,0.33
185,Channing Frye,ORL,37,18.0,20,0.54,1.44,25,0.68,59,0.80,0.34
186,Chandler Parsons,DAL,37,26.6,20,0.54,0.97,52,1.41,63,0.38,0.32
187,Chase Budinger,IND,39,16.0,21,0.54,1.61,25,0.64,37,0.84,0.57
188,Shaun Livingston,GS,41,19.9,22,0.54,1.29,34,0.83,72,0.65,0.31
189,Tiago Splitter,ATL,32,16.0,17,0.53,1.59,22,0.69,64,0.77,0.27
190,Joe Ingles,UTAH,42,13.9,22,0.52,1.81,29,0.69,52,0.76,0.42
191,Maurice Harkless,POR,46,17.2,24,0.52,1.45,41,0.89,55,0.59,0.44
192,Devin Booker,PHX,39,20.4,20,0.51,1.20,47,1.21,85,0.43,0.24
193,Dante Cunningham,NO,41,19.6,21,0.51,1.25,14,0.34,78,1.50,0.27
194,Marco Belinelli,SAC,43,25.6,22,0.51,0.96,57,1.33,64,0.39,0.34
195,Noah Vonleh,POR,46,15.8,23,0.50,1.52,27,0.59,92,0.85,0.25
196,Alex Len,PHX,42,19.2,21,0.50,1.25,58,1.38,106,0.36,0.20
197,Brandon Bass,LAL,38,18.0,19,0.50,1.34,21,0.55,63,0.90,0.30
198,Nick Young,LAL,36,18.7,18,0.50,1.28,20,0.56,28,0.90,0.64
199,E'Twaun Moore,CHI,32,15.2,16,0.50,1.58,19,0.59,37,0.84,0.43
200,Tayshaun Prince,MIN,45,20.9,22,0.49,1.12,16,0.36,36,1.38,0.61
201,Jamal Crawford,LAC,43,25.6,21,0.49,0.91,59,1.37,69,0.36,0.30
202,Taj Gibson,CHI,43,25.3,21,0.49,0.92,44,1.02,100,0.48,0.21
203,Jerian Grant,NY,43,15.8,21,0.49,1.48,47,1.09,60,0.45,0.35
204,DeAndre Jordan,LAC,41,33.2,20,0.49,0.70,47,1.15,117,0.43,0.17
205,P.J. Hairston,CHA,41,19.9,20,0.49,1.18,19,0.46,96,1.05,0.21
206,Richard Jefferson,CLE,39,19.5,19,0.49,1.20,26,0.67,74,0.73,0.26
207,J.J. Redick,LAC,39,27.7,19,0.49,0.85,41,1.05,67,0.46,0.28
208,Terrence Jones,HOU,39,23.4,19,0.49,1.00,46,1.18,75,0.41,0.25
209,Randy Foye,DEN,44,19.9,21,0.48,1.15,48,1.09,65,0.44,0.32
210,Bojan Bogdanovic,BKN,44,27.0,21,0.48,0.85,57,1.30,63,0.37,0.33
211,Klay Thompson,GS,42,32.9,20,0.48,0.69,78,1.86,82,0.26,0.24
212,Shabazz Napier,ORL,36,12.1,17,0.47,1.88,36,1.00,30,0.47,0.57
213,Anthony Morrow,OKC,39,15.5,18,0.46,1.43,9,0.23,40,2.00,0.45
214,Kenneth Faried,DEN,37,26.5,17,0.46,0.83,52,1.41,96,0.33,0.18
215,Kevin Martin,MIN,35,22.6,16,0.46,0.97,34,0.97,60,0.47,0.27
216,Paul Pierce,LAC,40,17.5,18,0.45,1.24,27,0.68,69,0.67,0.26
217,Jahlil Okafor,PHI,40,30.9,18,0.45,0.70,91,2.28,97,0.20,0.19
218,Frank Kaminsky III,CHA,43,21.3,19,0.44,0.99,34,0.79,68,0.56,0.28
219,Kyle Singler,OKC,34,11.8,15,0.44,1.80,17,0.50,53,0.88,0.28
220,Kelly Oubre Jr.,WSH,34,13.8,15,0.44,1.53,19,0.56,62,0.79,0.24
221,Nemanja Bjelica,MIN,39,18.8,17,0.44,1.11,29,0.74,106,0.59,0.16
222,Festus Ezeli,GS,39,17.9,17,0.44,1.17,35,0.90,91,0.49,0.19
223,Hollis Thompson,PHI,42,26.7,18,0.43,0.77,51,1.21,110,0.35,0.16
224,Derrick Williams,NY,45,16.7,19,0.42,1.21,31,0.69,43,0.61,0.44
225,Anthony Tolliver,DET,43,19.2,18,0.42,1.05,12,0.28,51,1.50,0.35
226,Lavoy Allen,IND,43,21.7,18,0.42,0.93,44,1.02,79,0.41,0.23
227,Lance Thomas,NY,43,21.3,18,0.42,0.94,45,1.05,73,0.40,0.25
228,Kyle O'Quinn,NY,36,11.7,15,0.42,1.71,40,1.11,65,0.38,0.23
229,Boris Diaw,SA,44,19.1,18,0.41,1.03,58,1.32,62,0.31,0.29
230,D.J. Augustin,OKC,32,15.4,13,0.41,1.26,29,0.91,37,0.45,0.35
231,Serge Ibaka,OKC,45,32.6,18,0.40,0.59,72,1.60,118,0.25,0.15
232,Kyle Anderson,SA,41,12.2,16,0.39,1.53,23,0.56,39,0.70,0.41
233,J.J. Barea,DAL,39,21.6,15,0.38,0.86,66,1.69,57,0.23,0.26
234,Roy Hibbert,LAL,46,25.2,17,0.37,0.70,54,1.17,148,0.31,0.11
235,Spencer Hawes,CHA,38,17.8,14,0.37,0.99,38,1.00,71,0.37,0.20
236,Luc Richard Mbah a Moute,LAC,41,15.1,15,0.37,1.16,16,0.39,52,0.94,0.29
237,Steven Adams,OKC,44,24.3,16,0.36,0.72,41,0.93,121,0.39,0.13
238,Timofey Mozgov,CLE,39,17.9,14,0.36,0.96,40,1.03,82,0.35,0.17
239,Thomas Robinson,BKN,39,9.9,14,0.36,1.74,29,0.74,44,0.48,0.32
240,Johnny O'Bryant III,MIL,42,14.7,15,0.36,1.17,26,0.62,77,0.58,0.19
241,Jason Smith,ORL,37,14.9,13,0.35,1.13,27,0.73,76,0.48,0.17
242,Brandon Rush,GS,35,16.1,12,0.34,1.02,19,0.54,28,0.63,0.43
243,Mirza Teletovic,PHX,44,18.0,15,0.34,0.91,38,0.86,62,0.39,0.24
244,Tristan Thompson,CLE,42,27.2,14,0.33,0.59,31,0.74,106,0.45,0.13
245,LaMarcus Aldridge,SA,40,29.6,13,0.33,0.53,55,1.38,86,0.24,0.15
246,Andrew Bogut,GS,37,20.9,12,0.32,0.74,43,1.16,113,0.28,0.11
247,Jared Cunningham,CLE,34,10.1,11,0.32,1.54,16,0.47,36,0.69,0.31
248,Tony Snell,CHI,41,21.9,13,0.32,0.70,39,0.95,62,0.33,0.21
249,Arron Afflalo,NY,38,33.0,12,0.32,0.46,37,0.97,87,0.32,0.14
250,Mike Miller,DEN,32,8.7,10,0.31,1.73,12,0.38,36,0.83,0.28
251,Richaun Holmes,PHI,32,14.0,10,0.31,1.07,19,0.59,54,0.53,0.19
252,JaMychal Green,MEM,45,14.8,14,0.31,1.01,44,0.98,99,0.32,0.14
253,Mike Scott,ATL,39,14.3,12,0.31,1.03,24,0.62,52,0.50,0.23
